SIM2
HLCS
HOXD1
HOXD3
HOXD8
HOXD9
HOXD10
HOXD11
HOXD12
HOXD13
EVX2
SPEG
GMPPA
ASIC4
CHPF
TMEM198
RPS6KA1
NCMAP
RCAN3
CAPZB
SLC66A1
ARHGEF10L
FOXO6
MRPS15
OSCP1
LSM10
STK40
RAB17
LRRFIP1
FARP2
STK25
BOK
THAP4
RTP5
FAM240C
FZD1
COL1A2
PRSS1
TRBV3-1
TCAF2
TCAF1
OR2A13
OR2A7
ARHGEF5
NOBOX
TPK1
INSIG1
UBE3C
DNAJB6
SLC41A2
NOPCHAP1
ALDH1L2
ANK2
UGT2A1
RASSF6
HSD17B11
NUDT9
PPP2R2C
WFS1
DOK7
HGFAC
RGS12
MSANTD1
HTT
RNF187
H2BC26
H2AC25
H3-4
TRIM17
RANBP3
CAPS
VMAC
NDUFA11
NRTN
DUS3L
PRR22
CATSPERD
PLIN3
TICAM1
FEM1A
ZNF555
ZNF554
THOP1
SGTA
SLC39A3
DIRAS1
OR7A129
OR2Y1
MGAT1
MIER2
SPMAP2
C2CD4C
SHC2
LARS1
RBM27
CCNJL
FABP6
WWC1
RARS1
MYT1L
AHI1
EPM2A
FBXO30
CCDC170
SYNJ2
SFT2D1
MPC1
THBS2
PGGT1B
CCDC112
SALL2
METTL3
TOX4
RAB2B
PIP4P1
APEX1
OSGEP
KLHL33
TEP1
KCNK13
PSMC1
NRDE2
MAP4K4
IL1R2
NBAS
COX8B
IFITM5
HPCAL1
ODC1
RC3H2
ZBTB6
ZBTB26
RABGAP1
FARP1
GRK1
TMEM255B
GAS6
KIF5B
SNX5
SLC4A11
ITPA
DDRGK1
LZTS3
FASTKD5
UBOX5
RAE1
SPO11
BMP7
ZNFX1
MMP7
MRPL48
COA4
PAAF1
DNAJB13
AMBRA1
HARBI1
ATG13
ARHGAP1
ZNF408
F2
CKAP5
STX3
MRPL16
CBLIF
TCN1
SPATA17
BPNT1
IARS2
RAB3GAP2
PLXNA2
TBC1D9
UCP1
ELMOD2
TRPC3
TRPV4
FAM222A
VSIG10L
CLDND2
NKG7
LIM2
C19orf84
ZNF304
ZNF772
ZNF550
GGNBP2
DHRS11
MRM1
UNC45B
NLE1
FNDC8
RAD51D
RFFL
RHOT1
RNF135
ADAP2
SUPT6H
PROCA1
RAB34
TLCD1
NEK8
TRAF4
FAM222B
ARHGAP44
ELAC2
KRT10
KRT12
KRT20
SIRT7
PCYT2
NPB
ANAPC11
ALYREF
ARHGDIA
P4HB
PPP1R27
MCRIP1
GCGR
MGAT5B
RNF157
FOXJ1
EXOC7
ZACN
GALR2
SRP68
EVPL
CD300H
CD300LB
CD300A
MTNAP1
VCF1
COG1
SSTR2
SLC39A11
SOX9
LRRK1
ALDH1A3
AP3S2
ARPIN
MARK3
CKB
TRMT61A
BAG5
COA8
TAFA4
CCR9
LZTFL1
SLC6A20
WNT7A
PPARD
FANCE
RPL10A
TEAD3
TULP1
PBX2
AGER
RNF5
AGPAT1
EGFL8
PPT2
PRRT1
ATF6B
TNXB
PGBD1
ZSCAN26
NKAPL
ZKSCAN4
ZSCAN9
H2AC14
H1-5
H2BC15
KDM1B
TPMT
NHLRC1
MBP
ZNF516
DSEL
ATF7IP2
SNX29
ITGAD
COX6A2
ARMC5
TGFB1I1
SLC5A2
RUSF1
AHSP
OR7A53
PSMG3
TMEM184A
MAFK
INTS1
GRK5
SIAE
SPA17
NRGN
VSIG2
ESAM
MSANTD2
MRGPRF
TPCN2
