RegistroGenealogico Media cg287646953_BC21 cg287647051_BC21 cg287647433_TC11 Avg
ESPH1705215823 1 0.8965452 0.8613030 0.9762047 0.627818955165488
ESPH1705215824 1 0.8852811 0.8618548 0.9731510 0.616159584876688
ESPH1705215825 1 0.9108837 0.8024548 0.9688856 0.612439860980225
ESPH1705215826 1 0.8966613 0.7739345 0.9795411 0.616349040059218
ESPH1705215827 1 0.9077187 0.8504062 0.9785166 0.635345708633307
ESPH1705215828 1 0.8623600 0.8239469 0.9729375 0.615862406301233
ESPH1705215829 1 0.8718189 0.7984290 0.9727068 0.61678691092149
ESPH1705215830 1 0.9021988 0.8860383 0.9767338 0.621492825539335
ESPH1705215831 1 0.8935648 0.8212855 0.9759105 0.620572911551125
ESPH1705215832 1 0.8862264 0.8908290 0.9710590 0.621443840032342
ESPH1705215833 1 0.9054755 0.9190066 0.9741449 0.596626119100214
ESPH1705215834 1 0.8919918 0.8640026 0.9743564 0.626726114348741
ESPH1705215836 1 0.9009560 0.8800584 0.9810239 0.623688802622454
ESPH1705217860 1 0.8774398 0.8492597 0.9712572 0.618146611817069
ESPH1705217863 1 0.8907021 0.9036395 0.9739588 0.614170204893248
ESPH1705217864 1 0.9182103 0.8799632 0.9716435 0.622236806483708
ESPH1705217867 1 0.9025029 0.9057181 0.9831804 0.62580689116463
ESPH1705217870 1 0.9133580 0.8888395 0.9712528 0.614011984577063
ESPH1705217868 1 0.8938934 0.8957491 0.9730039 0.616495864593891
ESPH1705217877 1 0.8944183 0.7842441 0.9793342 0.617569737392792
ESPH1705217880 1 0.8921817 0.8608441 0.9751357 0.618561682883065
ESPH1705217882 1 0.8926374 0.8893486 0.9742738 0.623445771305707
ESPH1705217884 1 0.9242133 0.9289690 0.9843867 0.632663473239496
ESPH1705217885 1 0.9024586 0.8988598 0.9834731 0.626364255349518
ESPH1705217888 1 0.9103112 0.8673951 0.9721722 0.624296054191774
ESPH1705217871 1 0.9087476 0.8386035 0.9803676 0.617108918507905
ESPH1705217872 1 0.8984312 0.8719101 0.9789085 0.624028295572776
ESPH1705217873 1 0.8952862 0.7809147 0.9751697 0.609407342489603
ESPH1705217876 1 0.9030443 0.9213989 0.9764485 0.626342119940756
ESPH1705217878 1 0.8382164 0.8558172 0.9713102 0.610868842318301
ESPH1705217881 1 0.9075867 0.8900103 0.9798735 0.630622076109405
ESPH1705217893 1 0.9081928 0.8678194 0.9741788 0.620706657012969
ESPH1705217894 1 0.9130567 0.8791929 0.9749634 0.629788953997481
ESPH1705217895 1 0.8961444 0.7785520 0.9708333 0.62382802396881
ESPH1705217896 1 0.8451757 0.7890052 0.9691692 0.612738756602331
ESPH1705231547 1 0.8856181 0.7893106 0.9729971 0.609273230423875
ESPH1705231548 1 0.8897757 0.8108387 0.9765737 0.619290652523875
ESPH1705231550 1 0.8656592 0.8373256 0.9766941 0.619274705847696
ESPH1705231551 1 0.9225307 0.9107360 0.9757927 0.631306458655895
ESPH1705231552 1 0.9088863 0.7710210 0.9776873 0.619156946353832
ESPH1705231553 1 0.8874817 0.8215079 0.9714196 0.623474373288934
ESPH1705231554 1 0.8891355 0.8597284 0.9698348 0.62044682780343
ESPH1705231555 1 0.8970767 0.9005774 0.9720370 0.63161271391798
ESPH1705231556 1 0.9022553 0.9129141 0.9805250 0.620265816777385
ESPH1705231558 1 0.9030350 0.8762239 0.9766466 0.62964165424089
ESPH1705231562 1 0.8945470 0.8780088 0.9729302 0.619722723797669
ESPH1705231564 1 0.9056823 0.8439026 0.9747736 0.613599194668301
ESPH1705231559 1 0.9159128 0.8355827 0.9801199 0.625936599690515
ESPH1705231565 1 0.9042808 0.9019033 0.9751810 0.627345489075804
ESPH1705231567 1 0.9055185 0.8541340 0.9780927 0.62605830012575
ESPH1705231568 1 0.9158798 0.8599922 0.9773867 0.617112052336951
ESPH1705232157 1 0.8930790 0.8592017 0.9732733 0.622858352802653
ESPH1705232150 1 0.8153207 0.8906335 0.9764787 0.627956185560932
ESPH1705232152 1 0.8990021 0.8731949 0.9687294 0.616362510342578
ESPH1705232154 1 0.8757114 0.8608516 0.9741468 0.620999639566935
ESPH1705232155 1 0.9056856 0.9073803 0.9654990 0.614562587930707
ESPH1705232151 1 0.8929204 0.7689708 0.9632433 0.615082031450322
ESPH1705232156 1 0.8646888 0.8775196 0.9692090 0.615623327628457
ESPH1705217897 1 0.8938618 0.8415299 0.9708793 0.619364535890782
ESPH1705232158 1 0.8953935 0.8650844 0.9741672 0.623475767887835
ESPH1705232160 1 0.8908389 0.8344103 0.9747448 0.616975072332556
ESPH1705232162 1 0.8745561 0.9025118 0.9644236 0.621905492699946
ESPH1705232163 1 0.8844374 0.8615854 0.9660326 0.623580003737085
ESPH1705232164 1 0.8955849 0.9174912 0.9712198 0.628746228664469
ESPH1705232165 1 0.9105976 0.8890945 0.9724295 0.629100542388987
ESPH1705232166 1 0.9091396 0.8265812 0.9731327 0.613581119951822
ESPH1705232168 1 0.9032599 0.8694833 0.9724705 0.611396913214014
ESPH1705232170 1 0.8971698 0.8221677 0.9759005 0.626285977313103
ESPH1705232171 1 0.8670402 0.8564563 0.9737434 0.61397935793253
ESPH1705232169 1 0.8843236 0.8628862 0.9696503 0.614869747474277
ESPH1705232173 1 0.8676961 0.8348404 0.9655486 0.61051861533403
ESPH1705232175 1 0.9002714 0.8722279 0.9672573 0.621628276496972
ESPH1705232176 1 0.8871203 0.8748520 0.9681463 0.622722400848151
ESPH1705232177 1 0.9014841 0.8008298 0.9691111 0.611589744562996
ESPH1705232178 1 0.8509009 0.8581363 0.9738136 0.619346543228483
ESPH1705232179 1 0.8854966 0.8411436 0.9718613 0.61944711214306
ESPH1705232180 1 0.8870714 0.8470337 0.9734435 0.613710178188773
ESPH1705232183 1 0.8860414 0.7441521 0.9665628 0.602682806297937
ESPH1705234647 1 0.9051676 0.8115686 0.9663986 0.613386634916827
ESPH1705234649 1 0.8852781 0.9048393 0.9661092 0.614174062204636
ESPH1705234650 1 0.8771115 0.9059845 0.9676611 0.618123261801179
ESPH1705234651 1 0.9009114 0.8944946 0.9702921 0.615435885835504
ESPH1705234653 1 0.8606207 0.8758256 0.9737946 0.617534806546731
ESPH1705234654 1 0.8727706 0.8949335 0.9785479 0.609760063502304
ESPH1705234655 1 0.8952051 0.8542432 0.9731166 0.624272051671249
ESPH1705234657 1 0.8901454 0.9006041 0.9653438 0.610979277348071
ESPH1705234660 1 0.8786833 0.8572504 0.9659300 0.615372655798821
ESPH1705234662 1 0.8885457 0.8938569 0.9740402 0.63440981694925
ESPH1705234663 1 0.8777509 0.9018295 0.9691496 0.615741396793676
ESPH1705234664 1 0.8580496 0.8765299 0.9786404 0.61516904134456
